study,HR,LB,UB,logHR,selogHR
De Souza,0.92,0.45,1.89,-0.0807,0.3672
Gianni,0.52,0.24,1.11,-0.6527,0.385
Gisselbrecht,1.45,1.08,1.93,0.3683,0.1487
Intragumtornchai,0.96,0.71,1.3,-0.0387,0.1529
Kaiser,0.64,0.3,1.36,-0.448,0.3852
Kluin-Nelemans,1.08,0.75,1.55,0.0761,0.1834
Martelli 1996,1.23,0.72,2.08,0.2031,0.2697
Martelli 2003,0.69,0.29,1.65,-0.3773,0.4473
Milpied,1.01,0.59,1.73,0.0087,0.2748
Rodriguez 2003,0.64,0.4,1.05,-0.4402,0.2481
Santini 1998,1.34,0.68,2.65,0.2921,0.3482
Santini-2,0.81,0.48,1.37,-0.2141,0.2697
Verdonck,1.4,0.73,2.67,0.3368,0.329
Vitolo,1.41,0.82,2.41,0.3412,0.2749
